ID,LIMIT_BAL,SEX,EDUCATION,MARRIAGE,AGE
9910,130000.0,2,2,1,27
15561,60000.0,2,3,1,48
23607,330000.0,2,1,2,44
6314,60000.0,2,2,2,24
27534,180000.0,2,1,2,33
21078,30000.0,1,2,2,23
24185,150000.0,1,3,1,45
13061,50000.0,1,1,2,30
23244,20000.0,2,1,2,24
25684,40000.0,2,3,1,43
6762,50000.0,2,2,2,23
4699,200000.0,1,1,1,42
4437,150000.0,2,3,1,45
9900,270000.0,2,1,1,45
3646,20000.0,2,1,2,24
11098,80000.0,2,2,1,30
21209,50000.0,1,2,2,24
28876,140000.0,1,2,1,52
21504,130000.0,1,2,2,29
26048,260000.0,2,3,1,52
11572,30000.0,1,3,2,26
25900,210000.0,1,1,1,38
29054,320000.0,2,2,1,36
27337,50000.0,1,3,2,52
4863,350000.0,2,1,2,44
21620,50000.0,2,2,2,24
17937,200000.0,1,1,1,39
317,50000.0,2,3,2,27
25149,60000.0,1,1,2,26
13300,210000.0,2,1,2,31
5677,140000.0,2,2,2,24
1012,90000.0,1,1,2,32
11335,500000.0,2,2,1,52
7251,20000.0,1,2,1,45
22408,160000.0,2,2,2,28
11543,290000.0,1,4,1,52
8976,210000.0,1,2,1,30
29636,300000.0,2,2,2,28
3343,80000.0,1,2,2,25
19251,440000.0,2,2,2,31
9523,170000.0,2,2,2,38
18012,250000.0,1,1,2,30
9812,80000.0,2,1,2,29
7733,150000.0,2,3,1,46
20537,100000.0,1,3,2,35
6273,210000.0,2,1,2,29
7561,40000.0,1,2,1,37
13469,260000.0,2,4,2,30
13655,50000.0,1,2,2,33
16728,110000.0,1,1,2,33
16827,100000.0,2,3,2,28
12137,200000.0,2,1,2,32
25682,20000.0,1,3,2,59
24704,50000.0,1,3,1,46
14588,310000.0,1,3,1,44
9764,50000.0,2,3,1,50
6327,110000.0,2,1,2,29
21052,60000.0,2,2,2,40
15440,20000.0,2,2,2,24
16037,50000.0,1,1,2,28
10725,300000.0,2,1,2,26
23575,100000.0,1,3,2,24
26716,80000.0,2,2,2,31
7129,50000.0,2,3,2,23
25471,380000.0,2,1,1,42
24464,80000.0,2,2,2,26
23821,30000.0,2,1,2,24
8445,60000.0,1,2,2,29
24357,30000.0,1,2,1,23
19531,310000.0,2,1,2,28
11712,250000.0,2,2,2,55
16756,330000.0,1,1,2,32
5291,100000.0,2,2,1,39
14825,300000.0,2,2,1,42
21091,110000.0,2,2,1,33
27199,50000.0,1,3,2,29
11940,500000.0,1,1,1,45
5312,30000.0,1,2,2,30
22215,60000.0,2,1,2,23
4674,210000.0,2,1,2,34
18480,290000.0,2,2,2,30
2670,100000.0,1,1,2,25
6411,360000.0,2,1,2,30
22791,50000.0,2,2,2,22
5670,500000.0,1,1,1,44
12720,390000.0,2,1,1,28
7956,140000.0,2,2,1,36
8950,240000.0,2,2,1,42
15204,50000.0,1,3,1,53
13784,500000.0,1,1,1,50
17987,200000.0,2,1,1,30
1057,20000.0,1,2,2,25
19968,50000.0,1,3,1,41
21461,170000.0,2,2,2,26
17750,200000.0,2,2,1,46
12533,100000.0,2,2,1,32
28670,70000.0,2,3,1,26
7737,360000.0,1,1,2,32
7703,100000.0,2,2,1,36
8374,60000.0,2,2,2,29
1785,70000.0,1,3,1,45
6540,80000.0,2,2,1,27
25810,340000.0,2,1,2,30
3763,340000.0,2,1,2,31
29518,20000.0,1,1,2,24
29511,50000.0,1,2,1,49
3983,110000.0,2,2,1,26
21721,110000.0,1,3,1,40
3210,50000.0,1,2,1,40
16090,130000.0,2,2,1,37
15715,50000.0,2,2,1,44
19040,110000.0,2,2,2,36
26364,170000.0,1,1,2,51
28833,30000.0,1,3,2,28
10628,200000.0,2,2,2,27
15861,100000.0,2,1,2,29
16750,10000.0,2,3,1,49
234,250000.0,1,3,1,39
14451,60000.0,1,3,2,34
13023,180000.0,2,1,2,32
1059,230000.0,2,1,1,35
19102,230000.0,2,1,1,31
16174,280000.0,2,3,2,35
15616,110000.0,2,2,2,34
3436,120000.0,2,1,2,28
26462,30000.0,1,2,2,51
18001,140000.0,1,2,2,25
20359,90000.0,2,1,2,31
23243,50000.0,2,3,2,23
15991,20000.0,2,2,2,21
29022,220000.0,1,1,2,34
15246,300000.0,1,1,2,25
6821,180000.0,2,1,2,23
29386,60000.0,2,3,2,23
21081,80000.0,2,2,2,24
16986,100000.0,2,2,1,22
22716,290000.0,2,2,1,45
24742,50000.0,2,3,1,46
25400,160000.0,1,1,2,48
2542,50000.0,2,2,1,26
3386,150000.0,2,2,1,30
25620,200000.0,2,2,1,52
29209,380000.0,1,3,1,52
17052,240000.0,2,2,2,48
16707,70000.0,2,3,1,49
15438,290000.0,1,2,1,48
19621,450000.0,2,1,1,36
2567,40000.0,2,2,2,23
21322,20000.0,2,2,2,42
15119,210000.0,1,2,2,32
29058,370000.0,1,6,1,28
21457,80000.0,2,2,1,39
12952,160000.0,2,1,2,28
7213,180000.0,1,3,1,40
26047,150000.0,2,1,1,33
2149,300000.0,2,3,1,39
11639,30000.0,2,1,2,24
23839,160000.0,2,2,1,40
14850,500000.0,1,1,1,34
11452,390000.0,2,1,1,34
15928,30000.0,1,2,1,49
3094,210000.0,2,1,2,31
8497,50000.0,1,2,1,58
1581,130000.0,2,2,2,23
28706,70000.0,1,3,1,55
12481,320000.0,2,2,2,30
22852,500000.0,1,1,1,40
6209,580000.0,1,3,1,67
12026,200000.0,2,1,2,36
15279,10000.0,2,2,2,46
1843,130000.0,1,2,2,25
29528,170000.0,2,2,2,47
19322,510000.0,2,1,2,35
511,270000.0,1,3,2,31
522,100000.0,2,1,2,22
9805,20000.0,1,1,1,62
20114,70000.0,1,2,1,30
16373,20000.0,1,2,2,22
27970,500000.0,2,2,1,28
1736,70000.0,2,2,2,34
4230,140000.0,2,2,1,26
4743,230000.0,2,1,2,28
10440,180000.0,2,2,2,34
34,140000.0,2,3,2,23
5560,240000.0,2,1,1,35
9509,20000.0,1,2,1,49
19277,50000.0,2,2,1,28
23929,50000.0,1,1,1,38
20745,360000.0,1,1,1,56
5179,400000.0,1,1,1,54
7981,150000.0,2,1,2,29
26620,370000.0,2,3,1,34
9678,170000.0,1,2,1,30
21896,110000.0,2,1,2,27
3649,180000.0,2,2,1,43
10335,300000.0,2,5,1,50
18512,130000.0,2,2,2,27
2656,400000.0,2,2,1,30
21684,80000.0,1,2,2,30
423,80000.0,2,1,2,23
28545,140000.0,2,2,2,35
4812,280000.0,1,2,2,33
12506,60000.0,2,2,2,31
29387,220000.0,2,1,2,27
15891,230000.0,2,1,2,45
748,200000.0,1,3,1,43
6041,260000.0,1,2,2,31
682,200000.0,1,2,1,32
22267,420000.0,2,2,1,46
9659,20000.0,1,1,2,23
24138,30000.0,2,2,1,54
14381,310000.0,1,2,1,42
13753,50000.0,2,2,2,24
3282,290000.0,2,2,2,29
11703,80000.0,2,2,1,34
23544,220000.0,2,2,1,33
18865,290000.0,2,1,2,31
11087,400000.0,2,2,1,46
28491,300000.0,2,2,1,46
6266,140000.0,1,2,1,42
3923,340000.0,1,2,2,30
29253,300000.0,2,3,1,42
21730,150000.0,2,2,1,46
14195,280000.0,2,1,2,34
17970,210000.0,2,2,1,44
14854,50000.0,2,1,2,27
16314,670000.0,1,1,2,28
7717,110000.0,2,2,1,46
19753,110000.0,1,2,2,32
929,60000.0,2,3,1,48
7727,50000.0,2,2,1,30
1858,30000.0,2,1,2,31
12692,20000.0,2,3,1,56
13168,170000.0,1,2,1,37
16908,90000.0,2,3,1,54
29631,210000.0,2,2,1,38
3806,90000.0,2,2,1,33
9385,120000.0,2,1,2,30
25381,50000.0,1,1,2,57
23091,30000.0,1,2,1,48
13852,280000.0,2,2,2,30
10401,170000.0,2,2,1,39
17229,90000.0,2,2,2,23
3679,20000.0,1,1,1,49
29642,200000.0,1,1,1,58
5161,200000.0,2,2,2,43
23784,200000.0,1,2,2,25
29596,50000.0,1,2,2,33
15993,30000.0,2,2,2,34
28687,310000.0,2,1,1,25
14001,470000.0,1,3,2,37
14,200000.0,1,2,1,37
6851,250000.0,2,1,2,26
26884,10000.0,2,3,2,53
27649,400000.0,2,3,1,50
8961,20000.0,1,2,2,21
23439,160000.0,2,1,2,50
24644,30000.0,1,1,2,24
25671,70000.0,2,3,2,42
5957,30000.0,1,3,1,50
15551,390000.0,2,1,2,30
24231,20000.0,1,3,1,40
23709,30000.0,2,1,2,24
29229,60000.0,2,3,1,30
7732,20000.0,1,2,2,25
891,30000.0,2,1,2,28
927,200000.0,2,2,2,34
3678,130000.0,2,2,2,45
16430,80000.0,2,3,0,37
19369,310000.0,2,1,2,28
1483,200000.0,2,2,1,46
27187,80000.0,2,2,1,25
9831,360000.0,2,2,2,53
6317,150000.0,2,1,2,36
24370,360000.0,2,2,2,26
4677,300000.0,2,2,1,37
22244,120000.0,2,2,1,26
28524,20000.0,2,1,2,26
18398,20000.0,2,2,2,24
20830,180000.0,2,2,2,25
22240,50000.0,1,1,2,33
6673,110000.0,1,2,1,48
2629,60000.0,2,1,2,31
26978,300000.0,1,2,1,38
3747,230000.0,2,2,2,29
24235,120000.0,1,2,1,33
10269,150000.0,2,2,2,35
25678,280000.0,2,1,2,36
12981,310000.0,2,2,1,33
11349,150000.0,2,1,2,26
18591,200000.0,2,2,2,39
1888,80000.0,2,1,1,41
19381,70000.0,1,1,2,31
27892,340000.0,1,2,1,49
5444,150000.0,2,5,1,38
22633,200000.0,1,3,2,28
28517,160000.0,1,1,2,28
4889,240000.0,2,5,2,36
29545,20000.0,1,2,2,22
17321,280000.0,1,1,2,30
25320,200000.0,1,1,2,31
17621,60000.0,2,2,1,30
21036,20000.0,1,1,2,35
17864,410000.0,2,1,1,31
15271,130000.0,2,1,2,27
20262,150000.0,2,2,2,42
21555,80000.0,2,3,2,25
6095,130000.0,2,1,2,29
392,80000.0,2,2,1,37
28178,360000.0,2,1,1,32
28002,200000.0,2,1,1,35
29664,160000.0,2,1,1,39
6101,180000.0,1,1,2,31
12600,420000.0,1,1,2,39
18482,200000.0,1,2,1,30
15247,50000.0,1,2,2,50
13736,340000.0,1,1,2,26
20962,210000.0,2,2,1,33
28350,60000.0,1,2,1,32
27986,500000.0,2,1,1,38
15352,230000.0,2,2,2,31
23315,200000.0,1,1,1,57
12793,10000.0,1,2,2,24
10475,240000.0,1,1,2,48
10033,20000.0,1,2,2,39
16336,260000.0,2,2,1,32
16404,180000.0,2,2,2,26
2111,360000.0,2,2,2,25
2486,250000.0,2,1,2,28
10755,120000.0,2,1,2,37
28526,180000.0,2,2,2,26
29192,70000.0,2,2,2,24
27310,390000.0,2,2,1,43
2520,310000.0,2,1,2,27
5708,190000.0,2,1,1,43
16441,240000.0,2,1,1,40
1804,230000.0,2,2,2,29
13888,70000.0,2,2,2,33
12413,230000.0,2,2,1,32
16027,80000.0,2,2,1,45
1949,290000.0,1,1,2,29
9601,160000.0,2,1,2,36
26077,200000.0,1,1,2,32
16805,260000.0,2,1,1,55
2735,50000.0,2,1,2,22
1062,80000.0,1,2,2,26
21623,240000.0,2,1,1,33
13187,370000.0,2,2,2,28
1193,20000.0,1,2,1,50
2831,50000.0,1,2,2,29
12173,20000.0,1,3,2,35
2891,150000.0,2,2,2,28
8790,230000.0,2,1,1,37
26869,90000.0,2,3,1,58
22635,20000.0,1,2,2,37
19120,500000.0,1,1,1,43
4337,340000.0,2,1,2,29
7036,80000.0,2,2,2,36
29820,30000.0,2,2,3,41
9016,30000.0,2,1,1,24
18070,250000.0,2,1,2,35
17574,200000.0,1,1,2,30
14995,70000.0,1,1,2,28
16000,130000.0,2,2,3,48
6135,20000.0,1,1,1,39
29980,200000.0,2,2,2,34
19845,160000.0,2,1,1,38
15794,50000.0,2,2,1,34
28786,50000.0,2,3,1,44
29621,190000.0,2,2,2,27
11107,380000.0,1,1,2,28
27526,90000.0,2,2,2,40
13372,50000.0,1,2,2,32
19589,200000.0,1,1,2,31
12956,100000.0,2,2,1,29
27994,500000.0,2,1,1,40
7352,160000.0,2,3,1,53
26981,280000.0,2,3,1,45
13817,490000.0,1,1,1,43
43,230000.0,1,2,2,26
7439,190000.0,1,1,2,36
16862,170000.0,1,1,2,36
12033,460000.0,1,1,1,44
23503,50000.0,1,3,1,50
2107,230000.0,1,3,1,30
19939,380000.0,1,1,2,42
13200,100000.0,1,1,2,31
10210,260000.0,1,1,2,28
3247,240000.0,2,2,1,38
29874,50000.0,2,1,1,25
7955,160000.0,2,2,1,33
13709,50000.0,2,2,1,26
1985,180000.0,2,3,1,64
12195,490000.0,2,2,1,30
23723,160000.0,1,1,2,23
998,120000.0,2,3,1,38
26354,150000.0,2,2,1,36
16826,80000.0,1,2,1,29
23412,300000.0,1,2,2,35
6096,50000.0,1,2,2,45
15912,80000.0,1,3,2,27
22616,170000.0,2,2,2,40
29408,500000.0,1,1,1,51
20031,170000.0,2,3,2,42
28364,180000.0,2,2,1,30
13149,360000.0,1,2,3,32
2232,150000.0,1,2,1,37
26805,60000.0,2,3,2,40
22179,50000.0,1,1,1,42
26285,140000.0,2,1,2,35
15053,350000.0,2,2,1,36
1671,500000.0,2,1,2,43
29187,150000.0,1,1,2,33
24260,300000.0,2,2,1,50
983,380000.0,1,2,1,43
21765,230000.0,2,1,2,27
5671,200000.0,2,1,2,26
22808,360000.0,2,2,2,33
28689,400000.0,2,1,2,39
28913,20000.0,2,3,2,49
17054,100000.0,2,1,2,29
17857,120000.0,1,3,2,31
29855,230000.0,2,5,2,40
19995,90000.0,1,2,1,39
9536,70000.0,2,2,2,55
11537,200000.0,2,2,1,50
22775,180000.0,2,2,2,28
1867,50000.0,2,2,1,39
13746,450000.0,2,1,1,54
12874,180000.0,2,1,2,26
29073,220000.0,1,1,1,54
4116,10000.0,1,1,1,50
13289,290000.0,2,1,3,29
2822,180000.0,2,1,1,38
4802,30000.0,1,1,2,25
9211,30000.0,1,2,1,29
2271,100000.0,1,2,1,42
18558,150000.0,2,1,1,37
28215,50000.0,2,2,2,32
19431,130000.0,2,2,1,28
13967,360000.0,2,2,2,39
20858,80000.0,2,2,1,26
6838,450000.0,1,1,1,61
3698,240000.0,2,1,1,32
5711,200000.0,2,1,1,45
3114,300000.0,2,1,2,29
14542,60000.0,2,2,1,48
25726,50000.0,2,3,2,57
12627,20000.0,1,2,2,33
13822,280000.0,2,4,2,25
17452,50000.0,1,3,2,46
22279,80000.0,2,2,2,27
22634,150000.0,2,1,2,32
25345,240000.0,2,2,2,40
7555,380000.0,2,2,2,41
20379,50000.0,1,1,2,37
20502,180000.0,1,2,1,42
13864,50000.0,1,2,2,46
16015,140000.0,2,2,2,27
23061,100000.0,1,2,2,27
28969,360000.0,2,1,1,30
15756,260000.0,2,1,1,34
24307,70000.0,2,2,2,36
24718,340000.0,1,1,1,39
18648,50000.0,2,2,2,42
5050,20000.0,2,3,1,61
10533,360000.0,2,1,2,36
1847,300000.0,2,1,1,45
1562,130000.0,2,3,1,28
29049,30000.0,2,2,1,36
8233,20000.0,2,2,2,22
