ID,MONTH,PAY,BILL_AMT,PAY_AMT
9910,JUNE,0.0,76885.0,3500.0
9910,MAY,0.0,79106.0,4000.0
9910,APRIL,0.0,81231.0,3000.0
9910,MARCH,0.0,81983.0,3146.0
9910,FEBRUARY,0.0,83773.0,3260.0
9910,JANUARY,0.0,85532.0,3200.0
15561,JUNE,-1.0,4823.0,5491.0
15561,MAY,-1.0,5471.0,9683.0
15561,APRIL,-1.0,8422.0,4377.0
15561,MARCH,-1.0,4377.0,3918.0
15561,FEBRUARY,-1.0,3910.0,2431.0
15561,JANUARY,-1.0,2431.0,2120.0
23607,JUNE,0.0,243621.0,21400.0
23607,MAY,0.0,259517.0,0.0
23607,APRIL,2.0,253863.0,9400.0
23607,MARCH,0.0,257535.0,9542.0
23607,FEBRUARY,0.0,262753.0,9766.0
23607,JANUARY,0.0,268145.0,9786.0
6314,JUNE,0.0,29832.0,1538.0
6314,MAY,0.0,18628.0,1308.0
6314,APRIL,0.0,15069.0,1000.0
6314,MARCH,0.0,15761.0,118.0
6314,FEBRUARY,0.0,5879.0,1329.0
6314,JANUARY,0.0,-2879.0,41378.0
27534,JUNE,-2.0,4500.0,2580.0
27534,MAY,-2.0,2580.0,178.0
27534,APRIL,-1.0,178.0,1500.0
27534,MARCH,-1.0,1500.0,0.0
27534,FEBRUARY,-1.0,0.0,1118.0
27534,JANUARY,-1.0,1118.0,1331.0
21078,JUNE,0.0,19321.0,5320.0
21078,MAY,0.0,23985.0,0.0
21078,APRIL,2.0,23321.0,3316.0
21078,MARCH,2.0,25809.0,0.0
21078,FEBRUARY,2.0,24985.0,700.0
21078,JANUARY,-1.0,700.0,0.0
24185,JUNE,-2.0,389.0,350.0
24185,MAY,-2.0,349.0,8403.0
24185,APRIL,-2.0,8362.0,886.0
24185,MARCH,-2.0,882.0,1602.0
24185,FEBRUARY,-2.0,1594.0,1391.0
24185,JANUARY,-2.0,1385.0,1156.0
13061,JUNE,4.0,37570.0,0.0
13061,MAY,3.0,36705.0,1400.0
13061,APRIL,2.0,37215.0,1400.0
13061,MARCH,2.0,37718.0,1601.0
13061,FEBRUARY,2.0,38584.0,0.0
13061,JANUARY,2.0,37829.0,2500.0
23244,JUNE,-1.0,19214.0,0.0
23244,MAY,2.0,15703.0,1000.0
23244,APRIL,0.0,9914.0,0.0
23244,MARCH,0.0,8200.0,5000.0
23244,FEBRUARY,0.0,11876.0,5400.0
23244,JANUARY,2.0,4792.0,13324.0
25684,JUNE,-1.0,780.0,177.0
25684,MAY,-1.0,177.0,1583.0
25684,APRIL,-1.0,1583.0,0.0
25684,MARCH,2.0,1020.0,0.0
25684,FEBRUARY,0.0,630.0,0.0
25684,JANUARY,0.0,240.0,1080.0
6762,JUNE,0.0,49809.0,2040.0
6762,MAY,0.0,50364.0,2766.0
6762,APRIL,0.0,38429.0,1690.0
6762,MARCH,0.0,18815.0,1000.0
6762,FEBRUARY,0.0,18305.0,1000.0
6762,JANUARY,0.0,19013.0,1000.0
4699,JUNE,-2.0,-6028.0,20405.0
4699,MAY,-2.0,10177.0,10426.0
4699,APRIL,-2.0,10229.0,8008.0
4699,MARCH,-2.0,7899.0,4575.0
4699,FEBRUARY,-2.0,4553.0,4273.0
4699,JANUARY,-2.0,4252.0,9652.0
4437,JUNE,0.0,59885.0,2200.0
4437,MAY,0.0,59054.0,2200.0
4437,APRIL,0.0,60254.0,2300.0
4437,MARCH,0.0,59604.0,2213.0
4437,FEBRUARY,0.0,60707.0,2300.0
4437,JANUARY,0.0,61988.0,2245.0
9900,JUNE,-2.0,1526.0,0.0
9900,MAY,-2.0,0.0,0.0
9900,APRIL,-2.0,0.0,0.0
9900,MARCH,-2.0,0.0,0.0
9900,FEBRUARY,-2.0,0.0,0.0
9900,JANUARY,-2.0,0.0,0.0
3646,JUNE,0.0,19403.0,1300.0
3646,MAY,0.0,18989.0,1332.0
3646,APRIL,0.0,18914.0,1301.0
3646,MARCH,0.0,19883.0,700.0
3646,FEBRUARY,0.0,19293.0,1000.0
3646,JANUARY,0.0,19993.0,900.0
11098,JUNE,0.0,22113.0,1600.0
11098,MAY,0.0,21507.0,1700.0
11098,APRIL,0.0,13207.0,1400.0
11098,MARCH,0.0,13997.0,200.0
11098,FEBRUARY,0.0,10914.0,1000.0
11098,JANUARY,0.0,10685.0,0.0
21209,JUNE,0.0,50140.0,3000.0
21209,MAY,0.0,15519.0,5000.0
21209,APRIL,0.0,19520.0,2300.0
21209,MARCH,0.0,21103.0,0.0
21209,FEBRUARY,2.0,20101.0,1000.0
21209,JANUARY,0.0,20402.0,2000.0
28876,JUNE,1.0,31511.0,0.0
28876,MAY,2.0,30705.0,1600.0
28876,APRIL,0.0,31809.0,3100.0
28876,MARCH,0.0,34374.0,0.0
28876,FEBRUARY,2.0,33522.0,1500.0
28876,JANUARY,0.0,34481.0,1500.0
21504,JUNE,0.0,30857.0,13333.0
21504,MAY,0.0,43333.0,0.0
21504,APRIL,0.0,0.0,0.0
21504,MARCH,-2.0,0.0,0.0
21504,FEBRUARY,-2.0,0.0,0.0
21504,JANUARY,-2.0,0.0,0.0
26048,JUNE,1.0,9979.0,0.0
26048,MAY,2.0,9371.0,10000.0
26048,APRIL,0.0,18488.0,11264.0
26048,MARCH,0.0,27022.0,1580.0
26048,FEBRUARY,0.0,28402.0,2.0
26048,JANUARY,0.0,800.0,1098.0
11572,JUNE,2.0,14598.0,2000.0
11572,MAY,2.0,13998.0,2000.0
11572,APRIL,2.0,15467.0,0.0
11572,MARCH,2.0,14913.0,3009.0
11572,FEBRUARY,2.0,17692.0,0.0
11572,JANUARY,2.0,16302.0,2000.0
25900,JUNE,0.0,81582.0,4000.0
25900,MAY,0.0,82768.0,1584.0
25900,APRIL,0.0,654.0,300.0
25900,MARCH,-2.0,628.0,0.0
25900,FEBRUARY,-2.0,302.0,500.0
25900,JANUARY,-2.0,476.0,476.0
29054,JUNE,-2.0,-20.0,0.0
29054,MAY,-2.0,-20.0,0.0
29054,APRIL,-2.0,-20.0,0.0
29054,MARCH,-2.0,-20.0,0.0
29054,FEBRUARY,-2.0,-20.0,0.0
29054,JANUARY,-2.0,-20.0,0.0
27337,JUNE,0.0,48946.0,2047.0
27337,MAY,0.0,98823.0,3167.0
27337,APRIL,0.0,50031.0,682.0
27337,MARCH,0.0,20413.0,662.0
27337,FEBRUARY,0.0,18336.0,1000.0
27337,JANUARY,0.0,18405.0,1000.0
4863,JUNE,2.0,309250.0,12000.0
4863,MAY,3.0,314607.0,14000.0
4863,APRIL,2.0,322032.0,12000.0
