anntime;value
19830426;0,0375
19830725;0,0492
19831102;0,0463
19840214;0,0379
19840419;0,0425
19840720;0,0583
19841020;0,0558
19850221;0,0417
19850418;0,045
19850719;0,0625
19851018;0,0617
19860220;0,0463
19860417;0,0525
19860718;0,0725
19861017;0,075
19870219;0,0588
19870415;0,0612
19870716;0,0875
19871016;0,09
19880217;0,065
19880414;0,071
19880716;0,1025
19881019;0,101
19890201;0,081
19890413;0,09
19890713;0,1225
19891013;0,116
19900131;0,0825
19900418;0,1035
19900718;0,1525
19901020;0,145
19910204;0,11
19910417;0,12
19910717;0,18
19911016;0,1725
19920131;0,135
19920417;0,145
19920714;0,22
19921014;0,205
19930128;0,155
19930413;0,175
19930716;0,255
19931022;0,23
19940128;0,18
19940418;0,2
19940718;0,295
19941020;0,275
19950126;0,22
19950419;0,245
19950720;0,355
19951019;0,32
19960125;0,26
19960417;0,285
19960715;0,42
19961015;0,39
19970131;0,31
19970414;0,4
19970717;0,48
19971016;0,41
19980128;0,33
19980415;0,34
19980716;0,47
19981015;0,35
19990126;0,24
19990421;0,3
19990715;0,38
19991021;0,32
20000126;0,31
20000418;0,22
20000719;0,44
20001020;0,42
20010131;0,38
20010418;0,35
20010718;0,45
20011018;0,45
20020129;0,37
20020416;0,37
20020717;0,52
20021016;0,48
20030212;0,4
20030416;0,37
20030717;0,57
20031016;0,55
20040211;0,46
20040421;0,46
20040722;0,64
20041021;0,5
20050216;0,46
20050419;0,47
20050721;0,68
20051020;0,57
20060207;0,46
20060419;0,49
20060718;0,74
20061019;0,62
20070214;0,52
20070417;0,56
20070717;0,85
20071017;0,71
20080213;0,58
20080416;0,67
20080717;1,01
20081015;0,83
20090212;0,64
20090421;0,65
20090721;0,92
20091020;0,82
